مركز طب الطوارئ والدعم — مكتب شؤون المكاتب;;;;;;;;;;;;;;;
جدول جاهز للتصدير كـ CSV لتغذية الخريطة;;;;;;;;;;;;;;;
حدد الجدول من رأس الأعمدة حتى آخر صف → File > Save As > CSV UTF-8 → ارفعه إلى مسار البيانات في مستودع GitHub.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
name;city;lat;lng;insufficient;teams;limiting;amb_ready;trans_ready;medical;medical_assist;field;admin;equip_pct;last_update;
الجبل;يفرن;32.0633;12.5286;false;0;تجهيزات طبية;1;0;1;13;0;3;0;2026-09-01;
الجفرة;هون;29.1264;15.9457;false;0;تجهيزات طبية;0;0;0;13;20;7;0;2026-09-01;
الخمس;الخمس;32.6486;14.2618;false;0;تجهيزات طبية;0;1;16;14;16;50;0;2026-09-01;
الزاوية;الزاوية;32.7571;12.7276;false;0;كادر طبية مساعدة;13;6;19;4;6;30;100;2026-09-01;
الزنتان;الزنتان;31.9309;12.251;false;0;تجهيزات طبية;0;0;7;10;43;10;0;2026-09-01;
الشاطئ;براك الشاطئ;27.5474;14.2864;false;0;تجهيزات طبية;0;0;0;0;0;16;0;2026-09-01;
الكفرة;الكفرة;24.1728;23.3166;false;0;تجهيزات طبية;0;0;3;24;29;3;0;2026-09-01;
المرج;المرج;32.4933;20.8309;false;0;تجهيزات طبية;1;0;9;19;21;10;0;2026-09-01;
بنغازي;بنغازي;32.1167;20.0667;false;0;تجهيزات طبية;0;0;43;24;24;83;0;2026-09-01;
بني وليد;بني وليد;31.7566;13.9835;false;0;تجهيزات طبية;3;2;5;3;18;39;0;2026-09-01;
تاروغاء;تاجوراء (تقريبي);32.883;13.3505;false;0;تجهيزات طبية;0;0;2;4;0;4;0;2026-09-01;
ترهونة;ترهونة;32.4358;13.6291;false;0;تجهيزات طبية;0;0;8;29;31;19;0;2026-09-01;
درنة;درنة;32.757;22.6367;false;0;تجهيزات طبية;0;0;4;3;0;18;0;2026-09-01;
زليتن;زليتن;32.4674;14.5686;false;0;تجهيزات طبية;7;2;28;20;31;16;0;2026-09-01;
زوارة;زوارة;32.9312;12.0824;false;0;تجهيزات طبية;2;1;9;22;0;22;0;2026-09-01;
سبها;سبها;27.0377;14.4283;false;0;تجهيزات طبية;5;5;0;0;0;0;0;2026-09-01;
سرت;سرت;31.2089;16.5887;false;0;تجهيزات طبية;2;2;9;29;20;18;0;2026-09-01;
شحات;شحات;32.83;21.86;false;0;تجهيزات طبية;2;2;5;44;17;29;0;2026-09-01;
صبراتة;صبراتة;32.7936;12.4886;false;0;تجهيزات طبية;0;0;14;20;24;23;0;2026-09-01;
طبرق;طبرق;32.0836;23.9764;false;0;تجهيزات طبية;2;0;6;3;0;14;0;2026-09-01;
طرابلس;طرابلس;32.8872;13.1913;false;2;مركبات نقل;13;4;56;58;71;95;100;2026-09-12;
غدامس;غدامس;30.1333;9.5;false;0;تجهيزات طبية;0;0;0;0;0;0;0;2026-09-01;
غريان;غريان;32.1722;13.0206;false;0;تجهيزات طبية;0;0;3;23;25;14;0;2026-09-01;
ككلة;ككلة;31.8667;12.7833;false;0;تجهيزات طبية;0;0;2;5;2;24;0;2026-09-01;
مصراتة;مصراتة;32.3754;15.0925;false;0;ميداني/سائقين;22;3;19;12;7;37;100;2026-09-12;
نالوت;نالوت;31.8686;10.9808;false;0;تجهيزات طبية;0;0;3;7;15;1;0;2026-09-01;
