name,city,lat,lng,fleet_ready_pct,vehicles_checked,vehicles_ready,equip_pct,calls_last_day,cases_last_day,last_vehicle_update,last_equip_update,last_activity_update
الجبل,يفرن,32.0633,12.5286,100,1,1,65,6,5,2026-09-01,2026-09-01,2026-09-01
الجفرة,هون,29.1264,15.9457,-,0,0,-,-,-,,,
الخمس,الخمس,32.6486,14.2618,-,0,0,-,-,-,,,
الزاوية,الزاوية,32.7571,12.7276,-,0,0,-,-,-,,,
الزنتان,الزنتان,31.9309,12.251,-,0,0,-,-,-,,,
الشاطئ,براك الشاطئ,27.5474,14.2864,-,0,0,-,-,-,,,
الكفرة,الكفرة,24.1728,23.3166,-,0,0,-,-,-,,,
المرج,المرج,32.4933,20.8309,-,0,0,-,-,-,,,
بنغازي,بنغازي,32.1167,20.0667,-,0,0,-,-,-,,,
بني وليد,بني وليد,31.7566,13.9835,-,0,0,-,-,-,,,
تاروغاء,تاجوراء (تقريبي),32.883,13.3505,-,0,0,-,-,-,,,
ترهونة,ترهونة,32.4358,13.6291,-,0,0,-,-,-,,,
درنة,درنة,32.757,22.6367,-,0,0,-,-,-,,,
زليتن,زليتن,32.4674,14.5686,-,0,0,-,-,-,,,
زوارة,زوارة,32.9312,12.0824,-,0,0,-,-,-,,,
سبها,سبها,27.0377,14.4283,-,0,0,-,-,-,,,
سرت,سرت,31.2089,16.5887,-,0,0,-,-,-,,,
شحات,شحات,32.83,21.86,-,0,0,-,-,-,,,
صبراتة,صبراتة,32.7936,12.4886,-,0,0,-,-,-,,,
طبرق,طبرق,32.0836,23.9764,-,0,0,-,-,-,,,
طرابلس,طرابلس,32.8872,13.1913,-,0,0,-,-,-,,,
غدامس,غدامس,30.1333,9.5,-,0,0,-,-,-,,,
غريان,غريان,32.1722,13.0206,-,0,0,-,-,-,,,
ككلة,ككلة,31.8667,12.7833,-,0,0,-,-,-,,,
مصراتة,مصراتة,32.3754,15.0925,-,0,0,-,-,-,,,
نالوت,نالوت,31.8686,10.9808,-,0,0,-,-,-,,,
